geoid,lat,lon,population,median_hh_income
482013311003,29.674826827540848,-95.35982836205808,535.0,52604.0
482013312001,29.663894348830613,-95.36034969763568,1876.0,80337.0
482013312002,29.66439112197624,-95.36615775607326,1660.0,26875.0
482013313003,29.636871028572333,-95.38044944286099,1232.0,
482013313001,29.65124574997926,-95.38019852500592,1607.0,45000.0
482013314001,29.651124140377455,-95.36707849124655,2428.0,24242.0
482013313002,29.647666161923965,-95.37220507622607,1416.0,82237.0
482013318001,29.64835723528606,-95.3467232059154,1090.0,
482013327002,29.684814216273967,-95.31553320272056,1433.0,43421.0
482013144021,29.69569982757742,-95.41165455175265,945.0,84531.0
482014122013,29.708934433323034,-95.40806963331669,655.0,169135.0
482013329001,29.68908389230245,-95.28908207693694,2371.0,42743.0
482013117021,29.70047289197407,-95.29832481075412,1917.0,32614.0
482013129012,29.715054500058276,-95.3567614999943,1466.0,13397.0
482013134003,29.694012717956063,-95.33671597441077,1351.0,40543.0
482013129022,29.71500137497657,-95.36671273219895,1276.0,102308.0
482013117012,29.69855424334202,-95.30427405402106,1436.0,47755.0
482013139023,29.683653106731963,-95.383409239971,772.0,54877.0
482013328001,29.693911930230247,-95.31464830231344,732.0,36579.0
482013326003,29.675093235331165,-95.31189692648296,2029.0,46542.0
482013326004,29.67165659462276,-95.30523421620022,1693.0,40783.0
482013328003,29.690069274515388,-95.30464513720995,2396.0,70167.0
482013329002,29.69415905134055,-95.29617948717217,1107.0,47308.0
482013330001,29.680830605645028,-95.28883553519563,2310.0,68056.0
482013316022,29.63419115908221,-95.33617695451962,395.0,89500.0
482013326002,29.675627236861924,-95.29675931577825,1826.0,
482013336001,29.666101481433415,-95.29383176537775,1066.0,61310.0
482013336002,29.659504116618,-95.30075413338461,720.0,72188.0
482013336003,29.65573086113076,-95.30782552781777,1433.0,103069.0
482013337002,29.63706089093495,-95.2949695364014,1908.0,70638.0
482013319003,29.661799288899708,-95.34427697780619,952.0,55168.0
482013136001,29.698757879968465,-95.3560070533255,1547.0,
482013322003,29.682167529429403,-95.33738497064161,1413.0,
482013113003,29.707421666707685,-95.29826494448709,1665.0,68702.0
482014120001,29.723123317109273,-95.40425917070772,1785.0,250001.0
482013311002,29.67555333330018,-95.37143888890367,1540.0,68138.0
482013127002,29.724864428597343,-95.36597708569765,1423.0,105723.0
482013128001,29.724939022774755,-95.35998756816394,390.0,
482013128002,29.722546835358052,-95.35858660001546,3362.0,16200.0
482013130001,29.721317937493115,-95.37460970830232,884.0,155764.0
482013316021,29.62885667088283,-95.32102801271758,2272.0,75167.0
482013317001,29.644135316246675,-95.32695217946839,2225.0,25726.0
482013327001,29.68331345827876,-95.30025891666999,886.0,60313.0
482013107002,29.719149898336436,-95.3119598644423,1849.0,138977.0
482013108001,29.73042447322256,-95.30949924107686,925.0,50444.0
482013106004,29.726712852945326,-95.3273554411343,283.0,
482013106005,29.72885387754322,-95.33029612244398,1159.0,103500.0
482013107001,29.723146807693738,-95.32085663466913,1493.0,41885.0
482013329003,29.692793243925465,-95.29222252442267,1157.0,
482013127001,29.729011720956482,-95.37130667442433,870.0,
482013139011,29.69926122408576,-95.38312446551363,2042.0,88000.0
482013140033,29.68985171434573,-95.40155721437237,1087.0,68984.0
482013144022,29.690490677780094,-95.40784335555192,1092.0,87712.0
482014122012,29.71170002709551,-95.4080159459286,851.0,250001.0
482014119021,29.727090687518704,-95.39217559995927,2391.0,113125.0
482013138012,29.686016769180007,-95.36893561547835,401.0,22500.0
482013320002,29.6740020153806,-95.35125261532221,3498.0,14468.0
482013338013,29.607096406257313,-95.28994548125291,1181.0,56908.0
482013328002,29.69504635004056,-95.30497449992434,1460.0,41696.0
482013323001,29.66895705719049,-95.32357148566106,1345.0,41023.0
482013323002,29.66418328210051,-95.3240152051051,1565.0,52056.0
482013324001,29.6680578276122,-95.33283089655899,2008.0,70012.0
482013324002,29.661260187491223,-95.33244906249378,789.0,41862.0
482013324003,29.653073173898264,-95.32827856521752,1260.0,38333.0
482013325001,29.661734309084792,-95.31113358182273,2161.0,85938.0
482013325002,29.668247639514664,-95.30308132555479,1249.0,72314.0
482013118001,29.704763531230892,-95.31669046877744,1683.0,50293.0
482013140011,29.69285871431313,-95.39145019049745,1870.0,66550.0
482013133001,29.702499054552494,-95.33310863634883,1652.0,20766.0
482013134002,29.69119525491166,-95.33421154907786,1365.0,38203.0
482013135001,29.692308220337996,-95.34525420341747,548.0,41324.0
482013135002,29.690398083331335,-95.34786254165955,744.0,17139.0
482013136003,29.688112370389078,-95.36243803704446,543.0,
482013130002,29.716175528257182,-95.37460564148031,966.0,49385.0
482013130003,29.7204784828032,-95.37025913794533,551.0,
482013118003,29.70913446937767,-95.3117753061697,712.0,38665.0
482013135003,29.685875385969446,-95.34979389471724,489.0,28750.0
482013136002,29.69105478049015,-95.3558896585272,1359.0,29395.0
482013137001,29.694174833286606,-95.36598346667496,1256.0,
