geoid,foreign_born_rate,spanish_at_home_rate,avg_household_size
48201332000,0.1312943562014194,0.2908496732026144,3.24
48201331200,0.028110047846889953,0.038201266099105,2.67
48201313600,0.1526634906886098,0.40110027506876716,2.57
48201332200,0.3114585476239457,0.6038822525597269,3.04
48201331800,0.26288659793814434,0.5074626865671642,3.11
48201433003,0.5734112490869248,0.6723721304873137,2.66
48201251402,0.17548291233283803,0.39143825069294735,2.54
48201331700,0.10260416666666666,0.17707701637355974,2.95
48201331300,0.04571232170476027,0.11297599711243458,3.04
48201331400,0.16403220996122875,0.12234616768621806,3.4
48201453202,0.31738184694482896,0.293313708999159,3.23
48201330801,0.1817239336492891,0.25790513833992096,2.63
48201230900,0.1290893015030946,0.33788659793814435,2.64
48201332600,0.24565523720056365,0.4548898071625344,2.83
48201453100,0.4323814655172414,0.462882096069869,2.69
48201232500,0.23652490334318854,0.5519961749940234,2.95
48201453702,0.3481745325022262,0.31196875717895706,3.53
48201313400,0.19300552195635026,0.2966194111232279,2.38
48201332400,0.08454523046586147,0.22343949044585987,3.24
48201331100,0.052312908694599175,0.14081579631073005,2.48
48201453300,0.5782051282051283,0.32361581920903953,2.81
48201332100,0.28206744405924994,0.637370010063737,3.51
48201453404,0.44393241167434716,0.5623840445269017,3.38
48201432401,0.4795027770431103,0.42805755395683454,2.3
48201321200,0.4444888178913738,0.7529178595023123,3.55
48201211501,0.33972515180568874,0.7451698867421719,3.2
48201453201,0.2947845804988662,0.3837736856151588,2.59
48201331900,0.16155905980362986,0.28784581908610507,2.38
48201330600,0.18256855064353666,0.34050730207532665,2.93
48201453403,0.5569524767412622,0.3559822747415066,2.72
48201453501,0.44571136827773994,0.372265413126017,2.86
48201452802,0.4605618155848278,0.43494614464010944,3.59
48201231100,0.3652760065585717,0.6525072523829258,3.88
48201452801,0.55920931091816,0.331399845320959,2.94
48201453603,0.4095791001451379,0.26630103595368676,2.94
48201533100,0.0702535983550377,0.2658817440807349,3.71
48201432402,0.6868243243243243,0.648816029143898,2.04
48201453405,0.5435531496062992,0.13773431132844335,2.67
48201332800,0.47515257192676547,0.7237621416725895,3.28
48201531900,0.16710097719869707,0.29632286995515694,2.94
48201533701,0.40569541890218735,0.7785919082510354,3.62
48201211900,0.21807228915662652,0.841478855406432,2.61
48201212400,0.3448275862068966,0.7043906131718395,3.22
48201340900,0.21120689655172414,0.19561324977618622,2.01
48201313802,0.20797931289250093,0.2505818463925524,2.55
48201314003,0.6009669021941242,0.04264647269828617,1.86
48201432901,0.6214750542299349,0.8224113475177305,3.08
48201532600,0.30792156862745096,0.46795188663700776,2.93
48201314005,0.3307204180664427,0.06709385601206182,1.37
48201212500,0.1550925925925926,0.3855932203389831,2.37
48201432301,0.5931623931623932,0.48002367564368154,1.94
48201433201,0.44687898089171973,0.3574385868065139,2.39
48201232701,0.37622652088589853,0.6530493988121107,2.97
48201453002,0.6304218657159834,0.5232959447799828,3.71
48201432501,0.4176191803735712,0.32397803538743136,2.28
48201421104,0.6419447878038731,0.9226314570303451,2.99
48201433100,0.6236722306525038,0.7798886341303636,3.0
48201522301,0.40503489531405784,0.5168281489036206,2.42
48201332300,0.24982817869415808,0.41651769753307116,2.95
48201331603,0.12003530450132392,0.24909573185435255,3.05
48201321301,0.39241527703066165,0.6979197187225314,2.74
48201421302,0.5397676496872207,0.23439821693907875,3.06
48201231000,0.1373671300081766,0.3651369490295665,3.73
48201432303,0.4359251259899208,0.29034841810172207,2.09
48201211700,0.12193850964043773,0.3999407933688573,2.75
48201433004,0.6977834612105712,0.8558472553699285,2.9
48201450302,0.47900599828620394,0.1687196715192236,2.43
48201533402,0.2552067143301212,0.6148943307614895,3.13
48201241501,0.18626309662398138,0.35854116385089835,2.43
48201330400,0.21636615811373092,0.5374917053749171,3.21
48201451003,0.16662313920083574,0.1297926725362113,2.29
48201333801,0.4843290891283056,0.8973799126637555,3.2
48201211502,0.3048128342245989,0.6520400307929176,3.27
48201432806,0.5704963877883943,0.7466565733030532,2.31
48201332900,0.46235167206040995,0.7090702947845805,2.98
48201420500,0.47405727246952084,0.7598544572468162,2.57
48201314004,0.5730645900137425,0.10352725606962895,1.82
48201433005,0.7365900383141762,0.5824059353471118,2.58
48201333700,0.24818753020782988,0.6685288640595903,3.39
48201452900,0.5029294586360441,0.7040423484119346,3.26
48201453502,0.49004424778761063,0.39136608917921045,3.42
48201330902,0.3268758526603001,0.7385892116182573,3.45
48201521701,0.4954663212435233,0.6219364231982528,2.57
48201432904,0.6614866614866615,0.6507890961262554,2.46
48201311800,0.3625891387822271,0.764342453662842,2.74
48201311002,0.34101251422070533,0.8198908429351122,3.18
48201313700,0.009454232917920068,0.04046242774566474,2.46
48201312800,0.07755863539445629,0.09206174200661521,1.81
48201334102,0.22263423316523287,0.38235294117647056,2.76
48201320201,0.2279584311096212,0.37588388537402306,3.85
48201314001,0.35878826128116126,0.11121825779492124,1.73
48201433507,0.3861216076949502,0.4933920704845815,2.45
48201250602,0.16681053085886924,0.427367941712204,2.89
48201331604,0.012639405204460967,0.05476190476190476,2.96
48201433602,0.3799654576856649,0.43271053344164634,2.43
48201452203,0.30660592255125285,0.4675,1.95
48201432302,0.5519848771266541,0.15407407407407409,2.23
48201311100,0.31506580239638576,0.8342088674091196,2.81
48201532004,0.3298053298053298,0.5095777951524628,2.42
48201230200,0.1330423230214462,0.34643143544506816,2.71
48201433006,0.7284502009825815,0.8799240626483151,2.42
48201313500,0.06681639528354857,0.07023603914795624,1.84
48201453800,0.42999446596568897,0.38199653779572995,3.26
48201332700,0.37084950409659334,0.7983798379837984,2.73
48201313300,0.06550703182827536,0.1690031152647975,2.19
48201540200,0.39457459926017263,0.645575032064985,2.72
48201533200,0.30450108459869846,0.43769968051118213,2.48
48201313801,0.030342156229825695,0.0693293142426526,2.15
48201311600,0.4734366353071389,0.779510022271715,2.44
48201432200,0.24605433376455368,0.20123664980326025,2.09
48201314301,0.09568733153638814,0.13345953620444864,1.58
48201454305,0.5217146080090242,0.12841043890865955,2.35
48201233600,0.19243498817966903,0.3635443037974683,2.92
48201432705,0.628195345288058,0.8911895203887598,3.17
48201433202,0.5177304964539007,0.5985775248933144,2.88
48201522202,0.3906555772994129,0.5777836973894512,3.29
48201522302,0.462104940165695,0.4973789700894234,2.18
48201221000,0.3936716077537058,0.6365883807169345,3.43
48201452401,0.4706620646375902,0.35241855873642647,2.48
48201433601,0.4419735927727589,0.7905579399141631,2.72
48201431901,0.38001605136436595,0.1954525579361609,1.62
48201433400,0.534996534996535,0.7146772987789684,2.51
48201230700,0.3139872315728381,0.4298469387755102,3.07
48201452204,0.37738193869096937,0.29730941704035874,1.83
48201521401,0.5897513644633111,0.9358490566037736,3.54
48201532502,0.45375972342264476,0.8097890966971747,3.25
48201450301,0.3319702602230483,0.3582757218381456,2.52
48201432903,0.5283468318246785,0.6674033149171271,2.87
48201211600,0.2494646680942184,0.7086438152011922,2.63
48201314401,0.4609271523178808,0.050203527815468114,1.58
48201451502,0.18165271204950856,0.10696421700654098,1.82
48201310900,0.3310012062726176,0.6871165644171779,2.24
48201451005,0.28164717844433146,0.19129438717067582,1.83
48201521402,0.5737609329446064,0.7744510978043913,3.45
48201432803,0.4943733022894839,0.7077922077922078,2.24
48201520502,0.4392764857881137,0.7200749590067932,2.83
48201452502,0.5889284126278346,0.4499437570303712,2.86
48201421101,0.4300801165331391,0.4693200663349917,1.81
48201331602,0.16062331435421037,0.2759433962264151,2.73
48201433007,0.7034883720930233,0.8761965539246969,3.22
48201433503,0.46114864864864863,0.7142857142857143,3.41
48201423402,0.444420274091799,0.17560860316709997,3.2
48201421402,0.5796230538104343,0.8948863636363636,2.9
48201433504,0.5044669446098868,0.8722184760620364,3.0
48201454600,0.3027910392948953,0.16232387569967188,2.42
48201333302,0.3530583214793741,0.6597472924187726,3.44
48201222702,0.08732131758856433,0.12426995457495132,2.18
48201450804,0.27316017316017316,0.3246235606731621,2.06
48201421204,0.6414172266340867,0.7333555259653795,2.47
48201421401,0.6668658500149387,0.6225589225589225,2.52
48201453601,0.487468671679198,0.4570469798657718,3.36
48201310500,0.3197418597829275,0.7158850226928896,2.23
48201421501,0.5452267602104736,0.7202014549524343,2.78
48201222000,0.391025641025641,0.7623080995235575,3.26
48201313902,0.15521064301552107,0.0918284789644013,1.72
48201321800,0.43355279200195074,0.7668901495616297,3.57
48201422406,0.33550961189698947,0.2979142070051161,2.5
48201450803,0.2682459918640823,0.3843398157625384,2.59
48201231300,0.17164179104477612,0.32166566083283044,2.95
48201211301,0.12556053811659193,0.18818737270875763,2.88
48201440101,0.6666666666666666,0.6431746031746032,2.2
48201450401,0.3564356435643564,0.07292707292707293,1.88
48201521300,0.456145251396648,0.657835315369562,2.86
48201230800,0.18119948957890258,0.36592051164915484,2.78
48201521100,0.6194867682437851,0.692048801009676,3.37
48201452202,0.48767211015049633,0.1858376511226252,1.83
48201431102,0.18071393158155677,0.10848577235772358,1.89
48201330301,0.4139323573952549,0.7134154416633558,3.6
48201330302,0.29002139661544446,0.4839901477832512,3.25
48201421301,0.6796720384506644,0.8565495207667732,3.05
48201422501,0.46786288162828066,0.38222967309304273,2.61
48201331502,0.13179303612105434,0.310578426263679,2.4
48201311001,0.33685360524399127,0.6883116883116883,2.69
48201421403,0.5618476571174772,0.787931462627266,3.05
48201521000,0.37256719184430026,0.5380088278567925,2.7
48201313201,0.06862745098039216,0.0711436170212766,1.99
48201413301,0.32034715525554486,0.1290646326776395,1.74
