site_label,hcad_num,address,intersection,site_type,acreage,land_value,total_appraised_val,lat,lon,flood_zone,in_sfha,aadt_road,aadt,aadt_year,aadt_station_dist_mi,nearest_dollar_store,nearest_dollar_store_mi,nearest_anchor,nearest_anchor_mi
Site A - Cullen Blvd @ Griggs Rd / Old Spanish Trail,0410070160182,CULLEN,Cullen Boulevard & Old Spanish Trail,Vacant commercial land,0.89,465216.0,465216.0,29.702277,-95.34607,X,F,FM0865,3973,2025,0.15,Family Dollar,2.37,ALDI,1.04
Site B - 9104 Cullen Blvd @ Reed Rd,0730510120001,9104 CULLEN BLVD,Cullen Boulevard & Reed Road,Vacant commercial land,0.46,260000.0,260000.0,29.659589,-95.356035,X,F,FM0865,18429,2025,0.74,Dollar General,3.22,ALDI,2.92
Site C - 8707 MLK Jr Blvd @ Reed Rd,0470560000010,8707 MARTIN LUTHER KING JR BLVD,Martin Luther King Jr Boulevard & Reed Road,Under-improved commercial (redevelopment),0.92,519389.0,574322.0,29.656499,-95.33591,X,F,-,8593,2025,0.86,Dollar General,3.65,Kroger,2.98
Site D - 3839 Griggs Rd @ Scott St / Old Spanish Trail,0410070080062,3839 GRIGGS RD,Scott Street & Old Spanish Trail,Vacant commercial land,0.49,640320.0,614707.0,29.704583,-95.356824,X,F,UA0090,15421,2025,0.18,Family Dollar,2.58,ALDI,0.45
Site E - 9229 Martell St @ Scott St / Reed Rd,0771850040007,9229 MARTELL ST,Scott Street & Reed Road,Vacant commercial land,0.58,169208.0,169208.0,29.656878,-95.369489,X,F,-,17168,2025,0.82,Dollar General,2.85,ALDI,3.09
