geoid,population,median_hh_income,poverty_total,poverty_below,total_households,snap_households
48201211600,2802.0,49485.0,2802.0,504.0,1066.0,283.0
48201211700,3838.0,49508.0,3718.0,719.0,1396.0,381.0
48201220702,3805.0,29853.0,3739.0,1268.0,1202.0,273.0
48201221601,3264.0,69133.0,3264.0,1332.0,772.0,34.0
48201241105,5514.0,78936.0,5514.0,752.0,1636.0,414.0
48201241201,3062.0,76841.0,3062.0,197.0,1049.0,164.0
48201250601,3429.0,52180.0,3344.0,592.0,1591.0,226.0
48201251903,4395.0,120078.0,4395.0,97.0,1635.0,22.0
48201322702,4356.0,90929.0,4356.0,442.0,1298.0,178.0
48201341001,3973.0,62356.0,3973.0,445.0,2277.0,68.0
48201350104,5653.0,99877.0,5653.0,824.0,1925.0,409.0
48201350803,3059.0,60489.0,3048.0,134.0,1421.0,149.0
48201410704,2087.0,74537.0,2087.0,274.0,1524.0,64.0
48201411504,2669.0,126806.0,2669.0,370.0,1728.0,58.0
48201411505,3303.0,101736.0,3303.0,270.0,1714.0,63.0
48201411506,2971.0,99901.0,2971.0,157.0,1918.0,189.0
48201431303,1615.0,55164.0,1615.0,197.0,1041.0,55.0
48201431505,1480.0,89904.0,1464.0,112.0,905.0,8.0
48201431803,2339.0,74530.0,2339.0,150.0,1555.0,69.0
48201431902,2469.0,111667.0,2428.0,109.0,1580.0,12.0
48201432003,1763.0,38774.0,1763.0,529.0,1066.0,55.0
48201432102,4822.0,54754.0,4778.0,713.0,1987.0,257.0
48201432706,2243.0,34085.0,2243.0,1138.0,730.0,208.0
48201511003,1889.0,73507.0,1889.0,155.0,1106.0,0.0
48201511202,3510.0,172860.0,3510.0,92.0,1741.0,8.0
48201511501,3757.0,123696.0,3757.0,322.0,1992.0,40.0
48201520301,2443.0,67930.0,2443.0,555.0,991.0,107.0
48201520302,2591.0,78026.0,2591.0,614.0,992.0,130.0
48201530800,3919.0,45510.0,3879.0,703.0,1862.0,387.0
48201531200,3801.0,92837.0,3779.0,451.0,1607.0,148.0
48201531500,2639.0,64688.0,2638.0,318.0,1210.0,65.0
48201531600,3002.0,190234.0,3002.0,90.0,1278.0,37.0
48201531700,3947.0,219854.0,3917.0,58.0,1389.0,9.0
48201532102,3308.0,37267.0,3308.0,1491.0,1245.0,265.0
48201532302,4414.0,63657.0,4414.0,1814.0,1410.0,230.0
48201551501,4311.0,70223.0,4278.0,871.0,1581.0,652.0
48201551601,3000.0,68002.0,2952.0,939.0,937.0,274.0
48201553001,7218.0,89772.0,7211.0,627.0,2491.0,192.0
48201553002,4832.0,85335.0,4832.0,647.0,1616.0,50.0
48201554809,10919.0,92083.0,10573.0,1272.0,3588.0,143.0
48201221701,5311.0,67326.0,5311.0,1529.0,1361.0,228.0
48201232203,5823.0,73328.0,5823.0,916.0,2808.0,259.0
48201232306,4202.0,64439.0,4202.0,763.0,1092.0,189.0
48201232404,3969.0,52123.0,3969.0,1409.0,1188.0,258.0
48201233105,4595.0,44508.0,4595.0,1705.0,1071.0,354.0
