hcad_num,name,units,lat,lon
0582970000612,PARK VILLAGE APTS PHASE I,168,29.708347999121813,-95.63580499995682
0582970000612,PARK VILLAGE APTS PHASE II,144,29.708020999179272,-95.63579999993395
0582970000612,GOLDEN BAMBOO VILLAGE III,130,29.70464499945664,-95.61505899956154
1041420000005,BAYOU VILLAGE PLACE*,312,29.671073998861065,-95.5043820003029
1041420000005,HUNTINGTON APT HOMES,314,29.671077999074978,-95.5043119999827
0410300000175,PLUM CREEK TOWNHOMES,152,29.696479999575622,-95.3028420000736
0882600000014,ENCHANTED FOUNTAINS APTS,93,29.704248998954554,-95.48439400014097
0650090010007,SOUTH UNION PLACE,125,29.685634998910764,-95.36512800004171
0650090010007,SCOTT STREET TOWNHOMES,96,29.68509299894998,-95.36482000007014
0430390000003,SOUTH UNION PLACE,125,29.685634998910764,-95.36512800004171
0430390000003,SCOTT STREET TOWNHOMES,96,29.68509299894998,-95.36482000007014
1152170000007,BIG BASS RESORT SENIORS APTS,160,29.768464999231263,-95.2568259999689
0570050020012,EMERALD BAY APTS,248,29.817312999059677,-95.30920800026773
0570050020012,GULF COAST ARMS,160,29.819273999550237,-95.32893699996357
1148490000001,OAK TREE MANOR,249,29.638358999278474,-95.50685500029631
1148490000001,PINES OF WESTBURY PHASE I,377,29.640397999028107,-95.49558699959795
1148490000001,PINES OF WESTBURY PHASE II,563,29.640397999028107,-95.49558699959795
0461710000003,OAK TREE MANOR,249,29.638358999278474,-95.50685500029631
0461710000003,PINES OF WESTBURY PHASE I,377,29.640397999028107,-95.49558699959795
0461710000003,PINES OF WESTBURY PHASE II,563,29.640397999028107,-95.49558699959795
1295900010005,CREEKWOOD APTS,285,29.830352999090422,-95.48089799960032
0420760000039,PALISADES OF INWOOD,127,29.893906998847203,-95.4774460003389
0411010000105,ST JAMES VILLAGE APTS,150,29.613226999020036,-95.43395799958087
0411010000105,PENNINSULA PARK APTS,280,29.613002999404923,-95.45282299963644
