geoid,zero_vehicle_rate,renter_occupied_rate
48201211501,0.19816138917262513,0.5822267620020429
48201230900,0.2234539089848308,0.44049008168028003
48201231100,0.20270270270270271,0.37339971550497864
48201232500,0.16129032258064516,0.38911290322580644
48201251402,0.01018483591097699,0.4017351942663146
48201313400,0.18523153942428036,0.7415519399249061
48201313600,0.19087367835281024,0.5876460767946577
48201321200,0.07436260623229461,0.7549575070821529
48201330600,0.05293393516618793,0.3311448502256873
48201330801,0.042611415168100075,0.3655199374511337
48201331100,0.161543098251959,0.3821579264617239
48201331200,0.232171581769437,0.7302949061662198
48201331300,0.107386066003143,0.4311157674174961
48201331400,0.45380710659898477,0.9756345177664975
48201331700,0.21,0.4584615384615385
48201331800,0.14035087719298245,0.391812865497076
48201331900,0.09297374024130589,0.49893541518807666
48201332000,0.2332601536772777,0.5345773874862788
48201332100,0.0022148394241417496,0.4673311184939092
48201332200,0.044569993722536096,0.32642812303829255
48201332400,0.05292702485966319,0.2301523656776263
48201332600,0.11071428571428571,0.45982142857142855
48201432401,0.0341047503045067,0.6120584652862363
48201433003,0.3158150851581509,0.9508515815085158
48201452801,0.08,0.41315068493150686
48201452802,0.099601593625498,0.6414342629482072
48201453100,0.2095721537345903,0.7875271936185642
48201453201,0.2084967320261438,0.9738562091503268
48201453202,0.07142857142857142,0.7376623376623377
48201453300,0.08774038461538461,0.9825721153846154
48201453403,0.08761122518822724,0.728952772073922
48201453404,0.10730253353204174,0.5275707898658718
48201453501,0.09303458353628836,0.4968339016074038
48201453603,0.18384879725085912,0.697594501718213
48201453702,0.003142183817753339,0.572663000785546
48201211700,0.042263610315186245,0.3531518624641834
48201211900,0.07658505963590709,0.26616446955430006
48201212400,0.09417040358744394,0.3968609865470852
48201212500,0.14883401920438957,0.3004115226337449
48201231000,0.0397796817625459,0.2766217870257038
48201232701,0.07905803195962995,0.69932716568545
48201241501,0.14403778040141677,0.7532467532467533
48201313802,0.07525870178739416,0.5371589840075258
48201314003,0.1128808864265928,0.9937673130193906
48201314005,0.21324717285945072,0.8228325255788906
48201321301,0.15055350553505534,0.9638376383763838
48201330400,0.12515883100381195,0.4663278271918678
48201331603,0.028936742934051143,0.297442799461642
48201332300,0.12563323201621074,0.3110435663627153
48201332800,0.0930576070901034,0.7171344165435746
48201340900,0.03560573165436387,0.8410768562744246
48201421104,0.21010474430067777,1.0
48201421302,0.19117647058823528,0.707579185520362
48201432301,0.13440265486725664,0.9551991150442478
48201432303,0.0518018018018018,0.9834834834834835
48201432402,0.10973084886128365,0.9972394755003451
48201432501,0.031130876747141042,0.5972045743329097
48201432901,0.1366303436714166,0.7979882648784576
48201433004,0.37926509186351703,1.0
48201433100,0.2718181818181818,0.9018181818181819
48201433201,0.06269020085209982,0.5556908094948265
48201450302,0.0,0.7262895174708819
48201453002,0.08743570903747244,0.25936811168258633
48201453405,0.030283080974325215,0.7518104015799868
48201522301,0.2527950310559006,0.6434782608695652
48201531900,0.16122747199220652,0.4339990258158792
48201532600,0.02849264705882353,0.3556985294117647
48201533100,0.12531752751905165,0.47883149872988995
48201533402,0.13307240704500978,0.29403131115459885
48201533701,0.053784860557768925,0.6767928286852589
48201211502,0.08381839348079162,0.3213038416763679
48201230200,0.1288117770767613,0.5636172450052577
48201250602,0.07423580786026202,0.6568933250155957
48201311002,0.1654611211573237,0.445750452079566
48201311100,0.11602209944751381,0.5756906077348066
48201311800,0.14049586776859505,0.5740045078888054
48201312800,0.37176470588235294,0.9141176470588235
48201313300,0.3645240032546786,0.4524003254678601
48201313500,0.1537645811240721,0.5355249204665959
48201313700,0.21208907741251326,0.3860021208907741
48201314001,0.14528301886792452,0.6069182389937107
48201314004,0.32945091514143093,1.0
48201320201,0.14838709677419354,0.6490322580645161
48201330902,0.021636876763875823,0.4374412041392286
48201331604,0.2923076923076923,0.4956043956043956
48201332700,0.17785630153121318,0.41460541813898705
48201332900,0.07365627073656271,0.5467816854678168
48201333700,0.010655737704918032,0.2081967213114754
48201333801,0.0,0.6455399061032864
48201334102,0.043153526970954356,0.3775933609958506
48201420500,0.09900990099009901,0.9390708301599391
48201432302,0.09483667017913593,1.0
48201432806,0.3583098591549296,0.9571830985915493
48201432904,0.0748081841432225,0.7289002557544757
48201433005,0.30778739184178,1.0
48201433006,0.32181425485961124,1.0
48201433507,0.3400673400673401,0.9739057239057239
48201433602,0.09386281588447654,0.9939831528279182
48201451003,0.09406830437387657,0.8412222887956861
48201452203,0.22549019607843138,0.838680926916221
48201452900,0.03680981595092025,0.4815950920245399
